Categori­a;Propiedad EPM;Propiedad Compartido;Propiedad Cliente;Periodo
Estrato 4 - Todo el consumo;483.83;465.71;447.27;201607
Estrato 5 y 6 - Todo el consumo;580.6;558.85;536.72;201607
Industrial y Comercial;580.6;558.85;536.72;201607
ESPD*;532.21;512.28;492;201607
Oficial y Exentos de Contribucion;483.83;465.71;447.27;201607
Industrial y Comercial - Punta;574.34;554.25;530.99;201607
Industrial y Comercial - Fuera de Punta;591.95;561.08;541.29;201607
Oficial y Exentos - Punta;478.62;461.88;442.49;201607
Oficial y Exentos - Fuera de Punta;493.29;467.56;451.07;201607
Estrato 1 - Rango 0 - CS;196.44;189.08;181.59;201608
Estrato 1 - Rango > CS;491.09;472.69;453.98;201608
Estrato 2 - Rango 0 - CS;245.54;236.35;226.99;201608
Estrato 2 - Rango > CS;491.09;472.69;453.98;201608
Estrato 3 - Rango 0 - CS;417.42;401.79;385.88;201608
Estrato 3 - Rango > CS;491.09;472.69;453.98;201608
Estrato 4 - Todo el consumo;491.09;472.69;453.98;201608
Estrato 5 y 6 - Todo el consumo;589.31;567.23;544.77;201608
Industrial y Comercial;589.31;567.23;544.77;201608
ESPD*;540.2;519.96;499.38;201608
Oficial y Exentos de Contribucion;491.09;472.69;453.98;201608
Industrial y Comercial - Punta;582.96;562.57;538.96;201608
Industrial y Comercial - Fuera de Punta;590.47;569.49;549.41;201608
Oficial y Exentos - Punta;485.80;468.81;449.13;201608
Oficial y Exentos - Fuera de Punta;492.06;474.58;457.84;201608
Estrato 1 - Rango 0 - CS;199.38;191.91;184.32;201609
Estrato 1 - Rango > CS;498.45;479.78;460.79;201609
Estrato 2 - Rango 0 - CS;249.23;239.89;230.39;201609
Estrato 2 - Rango > CS;498.45;479.78;460.79;201609
Estrato 3 - Rango 0 - CS;423.69;407.82;391.67;201609
Estrato 3 - Rango > CS;498.45;479.78;460.79;201609
Estrato 4 - Todo el consumo;498.45;479.78;460.79;201609
Estrato 5 y 6 - Todo el consumo;598.14;575.74;552.95;201609
Industrial y Comercial;598.14;575.74;552.95;201609
ESPD*;548.3;527.76;506.87;201609
Oficial y Exentos de Contribucion;498.45;479.78;460.79;201609
Industrial y Comercial - Punta;591.70;571.01;547.04;201609
Industrial y Comercial - Fuera de Punta;549.21;566.53;542.21;201609
Oficial y Exentos - Punta;493.09;475.84;455.87;201609
Oficial y Exentos - Fuera de Punta;457.68;472.11;451.84;201609
Estrato 1 - Rango 0 - CS;199.28;191.81;184.22;201610
Estrato 1 - Rango > CS;482.5;468.13;452.86;201610
Estrato 2 - Rango 0 - CS;249.1;239.77;230.27;201610
Estrato 2 - Rango > CS;482.5;468.13;452.86;201610
Estrato 3 - Rango 0 - CS;410.13;397.91;384.93;201610
Estrato 3 - Rango > CS;482.5;468.13;452.86;201610
Estrato 4 - Todo el consumo;482.5;468.13;452.86;201610
Estrato 5 y 6 - Todo el consumo;579;561.75;543.44;201610
Industrial y Comercial;579;561.75;543.44;201610
ESPD*;530.75;514.94;498.15;201610
Oficial y Exentos de Contribucion;482.5;468.13;452.86;201610
Industrial y Comercial - Punta;600.58;579.57;555.25;201610
Industrial y Comercial - Fuera de Punta;539.25;518.58;497.91;201610
Oficial y Exentos - Punta;500.48;482.98;462.70;201610
Oficial y Exentos - Fuera de Punta;449.37;432.15;414.93;201610
Estrato 1 - Rango 0 - CS;199.16;191.7;184.1;201611
Estrato 1 - Rango > CS;461.85;444.62;427.38;201611
Estrato 2 - Rango 0 - CS;248.95;239.62;230.13;201611
Estrato 2 - Rango > CS;461.85;444.62;427.38;201611
Estrato 3 - Rango 0 - CS;392.58;377.93;363.28;201611
Estrato 3 - Rango > CS;461.85;444.62;427.38;201611
Estrato 4 - Todo el consumo;461.85;444.62;427.38;201611
Estrato 5 y 6 - Todo el consumo;554.23;533.54;512.86;201611
Industrial y Comercial;554.23;533.54;512.86;201611
ESPD*;508.04;489.08;470.12;201611
Oficial y Exentos de Contribucion;461.85;444.62;427.38;201611
Industrial y Comercial - Punta;609.59;588.26;563.57;201611
Industrial y Comercial - Fuera de Punta;551.18;530.49;509.81;201611
Oficial y Exentos - Punta;507.99;490.22;469.65;201611
Oficial y Exentos - Fuera de Punta;459.31;442.08;424.84;201611
Estrato 1 - Rango 0 - CS;199.38;191.91;184.31;201612
Estrato 1 - Rango > CS;471.84;454.42;437.01;201612
Estrato 2 - Rango 0 - CS;249.23;239.89;230.39;201612
Estrato 2 - Rango > CS;471.84;454.42;437.01;201612
Estrato 3 - Rango 0 - CS;401.06;386.26;371.46;201612
Estrato 3 - Rango > CS;471.84;454.42;437.01;201612
Estrato 4 - Todo el consumo;471.84;454.42;437.01;201612
Estrato 5 y 6 - Todo el consumo;566.2;545.31;524.41;201612
Industrial y Comercial;566.2;545.31;524.41;201612
ESPD*;519.02;499.87;480.71;201612
Oficial y Exentos de Contribucion;471.84;454.42;437.01;201612
Industrial y Comercial - Punta;607.15;581.21;572.03;201612
Industrial y Comercial - Fuera de Punta;563.36;542.46;521.57;201612
Oficial y Exentos - Punta;505.96;484.34;476.69;201612
Oficial y Exentos - Fuera de Punta;469.47;452.05;434.64;201612
Estrato 1 - Rango 0 - CS;200.21;192.71;185.08;201701
Estrato 1 - Rango > CS;447.16;429.82;412.48;201701
Estrato 2 - Rango 0 - CS;250.26;240.89;231.34;201701
Estrato 2 - Rango > CS;447.16;429.82;412.48;201701
Estrato 3 - Rango 0 - CS;380.09;365.35;350.61;201701
Estrato 3 - Rango > CS;447.16;429.82;412.48;201701
Estrato 4 - Todo el consumo;447.16;429.82;412.48;201701
Estrato 5 y 6 - Todo el consumo;536.59;515.78;494.97;201701
Industrial y Comercial;536.59;515.78;494.97;201701
ESPD*;491.88;472.8;453.72;201701
Oficial y Exentos de Contribucion;447.16;429.82;412.48;201701
Industrial y Comercial - Punta;541.84;521.03;506.34;201701
Industrial y Comercial - Fuera de Punta;534.70;513.89;493.08;201701
Oficial y Exentos - Punta;451.53;434.19;421.95;201701
Oficial y Exentos - Fuera de Punta;445.58;428.24;410.90;201701
Estrato 1 - Rango 0 - CS;202.26;194.69;186.98;201702
Estrato 1 - Rango > CS;455.88;438.47;421.07;201702
Estrato 2 - Rango 0 - CS;252.83;243.36;233.72;201702
Estrato 2 - Rango > CS;455.88;438.47;421.07;201702
Estrato 3 - Rango 0 - CS;387.5;372.7;357.91;201702
Estrato 3 - Rango > CS;455.88;438.47;421.07;201702
Estrato 4 - Todo el consumo;455.88;438.47;421.07;201702
Estrato 5 y 6 - Todo el consumo;547.05;526.17;505.28;201702
Industrial y Comercial;547.05;526.17;505.28;201702
ESPD*;501.46;482.32;463.18;201702
Oficial y Exentos de Contribucion;455.88;438.47;421.07;201702
Industrial y Comercial - Punta;553.17;532.28;511.40;201702
Industrial y Comercial - Fuera de Punta;544.82;523.93;503.05;201702
Oficial y Exentos - Punta;460.97;443.57;426.16;201702
Oficial y Exentos - Fuera de Punta;454.02;436.61;419.21;201702
Estrato 1 - Rango 0 - CS;204.29;196.64;188.85;201703
Estrato 1 - Rango > CS;477.51;460.15;442.78;201703
Estrato 2 - Rango 0 - CS;255.36;245.8;236.06;201703
Estrato 2 - Rango > CS;477.51;460.15;442.78;201703
Estrato 3 - Rango 0 - CS;405.89;391.13;376.36;201703
Estrato 3 - Rango > CS;477.51;460.15;442.78;201703
Estrato 4 - Todo el consumo;477.51;460.15;442.78;201703
Estrato 5 y 6 - Todo el consumo;573.02;552.18;531.34;201703
Industrial y Comercial;573.02;552.18;531.34;201703
ESPD*;525.27;506.16;487.06;201703
Oficial y Exentos de Contribucion;477.51;460.15;442.78;201703
Industrial y Comercial - Punta;579.43;558.59;537.75;201703
Industrial y Comercial - Fuera de Punta;570.73;549.89;529.05;201703
Oficial y Exentos - Punta;482.86;465.50;448.13;201703
Oficial y Exentos - Fuera de Punta;475.61;458.25;440.88;201703
Estrato 1 - Rango 0 - CS;205.25;197.56;189.74;201704
Estrato 1 - Rango > CS;463.38;445.96;428.55;201704
Estrato 2 - Rango 0 - CS;256.56;246.95;237.17;201704
Estrato 2 - Rango > CS;463.38;445.96;428.55;201704
Estrato 3 - Rango 0 - CS;393.87;379.07;364.26;201704
Estrato 3 - Rango > CS;463.38;445.96;428.55;201704
Estrato 4 - Todo el consumo;463.38;445.96;428.55;201704
Estrato 5 y 6 - Todo el consumo;556.06;535.16;514.25;201704
Industrial y Comercial;556.06;535.16;514.25;201704
ESPD*;509.72;490.56;471.4;201704
Oficial y Exentos de Contribucion;463.38;445.96;428.55;201704
Industrial y Comercial - Punta;562.37;541.46;520.56;201704
Industrial y Comercial - Fuera de Punta;553.81;532.91;512.01;201704
Oficial y Exentos - Punta;468.64;451.22;433.80;201704
Oficial y Exentos - Fuera de Punta;461.51;444.09;426.67;201704
Estrato 1 - Rango 0 - CS;206.21;198.49;190.63;201705
Estrato 1 - Rango > CS;453.75;436.41;419.08;201705
Estrato 2 - Rango 0 - CS;257.76;248.11;238.28;201705
Estrato 2 - Rango > CS;453.75;436.41;419.08;201705
Estrato 3 - Rango 0 - CS;385.69;370.95;356.22;201705
Estrato 3 - Rango > CS;453.75;436.41;419.08;201705
Estrato 4 - Todo el consumo;453.75;436.41;419.08;201705
Estrato 5 y 6 - Todo el consumo;544.5;523.7;502.9;201705
Industrial y Comercial;544.5;523.7;502.9;201705
ESPD*;499.12;480.05;460.99;201705
Oficial y Exentos de Contribucion;453.75;436.41;419.08;201705
Industrial y Comercial - Punta;549.18;528.38;507.58;201705
Industrial y Comercial - Fuera de Punta;542.82;522.02;501.22;201705
Oficial y Exentos - Punta;457.65;440.32;422.98;201705
Oficial y Exentos - Fuera de Punta;452.35;435.02;417.69;201705
Estrato 1 - Rango 0 - CS;206.68;198.93;191.06;201706
Estrato 1 - Rango > CS;447.03;429.69;412.35;201706
Estrato 2 - Rango 0 - CS;258.34;248.67;238.82;201706
Estrato 2 - Rango > CS;447.03;429.69;412.35;201706
Estrato 3 - Rango 0 - CS;379.98;365.24;350.5;201706
Estrato 3 - Rango > CS;447.03;429.69;412.35;201706
Estrato 4 - Todo el consumo;447.03;429.69;412.35;201706
Estrato 5 y 6 - Todo el consumo;536.44;515.63;494.82;201706
Industrial y Comercial;536.44;515.63;494.82;201706
ESPD*;491.73;472.66;453.58;201706
Oficial y Exentos de Contribucion;447.03;429.69;412.35;201706
Industrial y Comercial - Punta;540.90;520.09;499.28;201706
Industrial y Comercial - Fuera de Punta;534.85;514.04;493.24;201706
Oficial y Exentos - Punta;450.75;433.41;416.07;201706
Oficial y Exentos - Fuera de Punta;445.71;428.37;411.03;201706
Estrato 1 - Rango 0 - CS;206.92;199.17;191.28;201707
Estrato 1 - Rango > CS;468.82;451.49;434.16;201707
Estrato 2 - Rango 0 - CS;258.64;248.96;239.1;201707
Estrato 2 - Rango > CS;468.82;451.49;434.16;201707
Estrato 3 - Rango 0 - CS;398.49;383.77;369.04;201707
Estrato 3 - Rango > CS;468.82;451.49;434.16;201707
Estrato 4 - Todo el consumo;468.82;451.49;434.16;201707
Estrato 5 y 6 - Todo el consumo;562.58;541.79;520.99;201707
Industrial y Comercial;562.58;541.79;520.99;201707
ESPD*;515.7;496.64;477.58;201707
Oficial y Exentos de Contribucion;468.82;451.49;434.16;201707
Industrial y Comercial - Punta;568.19;547.40;526.61;201707
Industrial y Comercial - Fuera de Punta;560.59;539.80;519.01;201707
Oficial y Exentos - Punta;473.49;456.17;438.84;201707
Oficial y Exentos - Fuera de Punta;467.16;449.83;432.51;201707
Estrato 1 - Rango 0 - CS;206.81;199.06;191.18;201708
Estrato 1 - Rango > CS;473.08;455.67;438.25;201708
Estrato 2 - Rango 0 - CS;258.51;248.83;238.98;201708
Estrato 2 - Rango > CS;473.08;455.67;438.25;201708
Estrato 3 - Rango 0 - CS;402.12;387.32;372.51;201708
Estrato 3 - Rango > CS;473.08;455.67;438.25;201708
Estrato 4 - Todo el consumo;473.08;455.67;438.25;201708
Estrato 5 y 6 - Todo el consumo;567.7;546.8;525.9;201708
Industrial y Comercial;567.7;546.8;525.9;201708
ESPD*;520.39;501.23;482.08;201708
Oficial y Exentos de Contribucion;473.08;455.67;438.25;201708
Industrial y Comercial - Punta;573.34;552.44;531.54;201708
Industrial y Comercial - Fuera de Punta;565.73;544.83;523.94;201708
Oficial y Exentos - Punta;477.78;460.37;442.95;201708
Oficial y Exentos - Fuera de Punta;471.44;454.03;436.61;201708
Estrato 1 - Rango 0 - CS;207.1;199.34;191.44;201709
Estrato 1 - Rango > CS;462.25;444.81;427.37;201709
Estrato 2 - Rango 0 - CS;258.87;249.17;239.3;201709
Estrato 2 - Rango > CS;462.25;444.81;427.37;201709
Estrato 3 - Rango 0 - CS;392.92;378.09;363.26;201709
Estrato 3 - Rango > CS;462.25;444.81;427.37;201709
Estrato 4 - Todo el consumo;462.25;444.81;427.37;201709
Estrato 5 y 6 - Todo el consumo;554.71;533.77;512.84;201709
Industrial y Comercial;554.71;533.77;512.84;201709
ESPD*;508.48;489.29;470.1;201709
Oficial y Exentos de Contribucion;462.25;444.81;427.37;201709
Industrial y Comercial - Punta;559.55;538.62;517.69;201709
Industrial y Comercial - Fuera de Punta;553.00;532.07;511.13;201709
Oficial y Exentos - Punta;466.30;448.85;431.41;201709
Oficial y Exentos - Fuera de Punta;460.83;443.39;425.94;201709
Estrato 1 - Rango 0 - CS;207.19;199.43;191.53;201710
Estrato 1 - Rango > CS;469.42;451.99;434.57;201710
Estrato 2 - Rango 0 - CS;258.98;249.28;239.41;201710
Estrato 2 - Rango > CS;469.42;451.99;434.57;201710
Estrato 3 - Rango 0 - CS;399.01;384.19;369.38;201710
Estrato 3 - Rango > CS;469.42;451.99;434.57;201710
Estrato 4 - Todo el consumo;469.42;451.99;434.57;201710
Estrato 5 y 6 - Todo el consumo;563.3;542.39;521.48;201710
Industrial y Comercial;563.3;542.39;521.48;201710
ESPD*;516.36;497.19;478.02;201710
Oficial y Exentos de Contribucion;469.42;451.99;434.57;201710
Industrial y Comercial - Punta;569.29;548.38;527.47;201710
Industrial y Comercial - Fuera de Punta;561.18;540.27;519.36;201710
Oficial y Exentos - Punta;474.41;456.98;439.56;201710
Oficial y Exentos - Fuera de Punta;467.65;450.23;432.80;201710
Estrato 1 - Rango 0 - CS;207.19;199.43;191.53;201711
Estrato 1 - Rango > CS;469.42;451.99;434.57;201711
Estrato 2 - Rango 0 - CS;258.98;249.28;239.41;201711
Estrato 2 - Rango > CS;469.42;451.99;434.57;201711
Estrato 3 - Rango 0 - CS;399.01;384.19;369.38;201711
Estrato 3 - Rango > CS;469.42;451.99;434.57;201711
Estrato 4 - Todo el consumo;469.42;451.99;434.57;201711
Estrato 5 y 6 - Todo el consumo;563.3;542.39;521.48;201711
Industrial y Comercial;563.3;542.39;521.48;201711
ESPD*;516.36;497.19;478.02;201711
Oficial y Exentos de Contribucion;469.42;451.99;434.57;201711
Industrial y Comercial - Punta;572.06;551.09;530.12;201711
Industrial y Comercial - Fuera de Punta;561.18;540.27;519.36;201711
Oficial y Exentos - Punta;476.71;459.24;441.77;201711
Oficial y Exentos - Fuera de Punta;467.65;450.23;432.80;201711
Estrato 1 - Rango 0 - CS;207.56;199.79;191.87;201712
Estrato 1 - Rango > CS;470.6;452.96;435.32;201712
Estrato 2 - Rango 0 - CS;259.45;249.73;239.84;201712
Estrato 2 - Rango > CS;470.6;452.96;435.32;201712
Estrato 3 - Rango 0 - CS;400.01;385.01;370.02;201712
Estrato 3 - Rango > CS;470.6;452.96;435.32;201712
Estrato 4 - Todo el consumo;470.6;452.96;435.32;201712
Estrato 5 y 6 - Todo el consumo;564.72;543.55;522.38;201712
Industrial y Comercial;564.72;543.55;522.38;201712
ESPD*;517.66;498.25;478.85;201712
Oficial y Exentos de Contribucion;470.6;452.96;435.32;201712
Industrial y Comercial - Punta;569.32;548.16;526.99;201712
Industrial y Comercial - Fuera de Punta;563.16;541.99;520.82;201712
Oficial y Exentos - Punta;474.44;456.80;439.16;201712
Oficial y Exentos - Fuera de Punta;469.30;451.66;434.02;201712
Estrato 1 - Rango 0 - CS;208.36;200.55;192.61;201801
Estrato 1 - Rango > CS;467.58;449.91;432.25;201801
Estrato 2 - Rango 0 - CS;260.45;250.69;240.76;201801
Estrato 2 - Rango > CS;467.58;449.91;432.25;201801
Estrato 3 - Rango 0 - CS;397.44;382.43;367.41;201801
Estrato 3 - Rango > CS;467.58;449.91;432.25;201801
Estrato 4 - Todo el consumo;467.58;449.91;432.25;201801
Estrato 5 y 6 - Todo el consumo;561.09;539.9;518.7;201801
Industrial y Comercial;561.09;539.9;518.7;201801
ESPD*;514.34;494.9;475.47;201801
Oficial y Exentos de Contribucion;467.58;449.91;432.25;201801
Industrial y Comercial - Punta;565.06;543.86;522.66;201801
Industrial y Comercial - Fuera de Punta;559.78;538.58;517.39;201801
Oficial y Exentos - Punta;470.88;453.22;435.55;201801
Oficial y Exentos - Fuera de Punta;466.48;448.82;431.16;201801
Estrato 1 - Rango 0 - CS;209.66;201.81;193.82;201802
Estrato 1 - Rango > CS;474.47;456.82;439.17;201802
Estrato 2 - Rango 0 - CS;262.08;252.26;242.27;201802
Estrato 2 - Rango > CS;474.47;456.82;439.17;201802
Estrato 3 - Rango 0 - CS;403.3;388.3;373.3;201802
Estrato 3 - Rango > CS;474.47;456.82;439.17;201802
Estrato 4 - Todo el consumo;474.47;456.82;439.17;201802
Estrato 5 y 6 - Todo el consumo;569.37;548.19;527.01;201802
Industrial y Comercial;569.37;548.19;527.01;201802
ESPD*;521.92;502.5;483.09;201802
Oficial y Exentos de Contribucion;474.47;456.82;439.17;201802
Industrial y Comercial - Punta;575.32;554.14;532.96;201802
Industrial y Comercial - Fuera de Punta;567.22;546.04;524.86;201802
Oficial y Exentos - Punta;479.43;461.79;444.14;201802
Oficial y Exentos - Fuera de Punta;472.68;455.04;437.39;201802
Estrato 1 - Rango 0 - CS;211.15;203.24;195.19;201803
Estrato 1 - Rango > CS;492.59;474.9;457.21;201803
Estrato 2 - Rango 0 - CS;263.93;254.05;243.99;201803
Estrato 2 - Rango > CS;492.59;474.9;457.21;201803
Estrato 3 - Rango 0 - CS;418.7;403.66;388.63;201803
Estrato 3 - Rango > CS;492.59;474.9;457.21;201803
Estrato 4 - Todo el consumo;492.59;474.9;457.21;201803
Estrato 5 y 6 - Todo el consumo;591.11;569.88;548.65;201803
Industrial y Comercial;591.11;569.88;548.65;201803
ESPD*;541.85;522.39;502.93;201803
Oficial y Exentos de Contribucion;492.59;474.9;457.21;201803
Industrial y Comercial - Punta;596.33;575.10;553.87;201803
Industrial y Comercial - Fuera de Punta;589.33;568.10;546.87;201803
Oficial y Exentos - Punta;496.94;479.25;461.56;201803
Oficial y Exentos - Fuera de Punta;491.11;473.42;455.73;201803
Estrato 1 - Rango 0 - CS;211.66;203.73;195.66;201804
Estrato 1 - Rango > CS;486.38;468.68;450.97;201804
Estrato 2 - Rango 0 - CS;264.57;254.66;244.58;201804
Estrato 2 - Rango > CS;486.38;468.68;450.97;201804
Estrato 3 - Rango 0 - CS;413.42;398.37;383.32;201804
Estrato 3 - Rango > CS;486.38;468.68;450.97;201804
Estrato 4 - Todo el consumo;486.38;468.68;450.97;201804
Estrato 5 y 6 - Todo el consumo;583.66;562.41;541.16;201804
Industrial y Comercial;583.66;562.41;541.16;201804
ESPD*;535.02;515.54;496.07;201804
Oficial y Exentos de Contribucion;486.38;468.68;450.97;201804
Industrial y Comercial - Punta;589.43;568.19;546.94;201804
Industrial y Comercial - Fuera de Punta;581.66;560.41;539.16;201804
Oficial y Exentos - Punta;491.19;473.49;455.78;201804
Oficial y Exentos - Fuera de Punta;484.71;467.01;449.30;201804
Estrato 1 - Rango 0 - CS;212.63;204.67;196.56;201805
Estrato 1 - Rango > CS;473.02;455.36;437.69;201805
Estrato 2 - Rango 0 - CS;265.79;255.84;245.7;201805
Estrato 2 - Rango > CS;473.02;455.36;437.69;201805
Estrato 3 - Rango 0 - CS;402.07;387.05;372.04;201805
Estrato 3 - Rango > CS;473.02;455.36;437.69;201805
Estrato 4 - Todo el consumo;473.02;455.36;437.69;201805
Estrato 5 y 6 - Todo el consumo;567.63;546.43;525.23;201805
Industrial y Comercial;567.63;546.43;525.23;201805
ESPD*;520.33;500.89;481.46;201805
Oficial y Exentos de Contribucion;473.02;455.36;437.69;201805
Industrial y Comercial - Punta;574.62;553.42;532.22;201805
Industrial y Comercial - Fuera de Punta;565.03;543.82;522.62;201805
Oficial y Exentos - Punta;478.85;461.19;443.52;201805
Oficial y Exentos - Fuera de Punta;470.85;453.19;435.52;201805
Estrato 1 - Rango 0 - CS;213.17;205.19;197.06;201806
Estrato 1 - Rango > CS;486.95;469.12;451.29;201806
Estrato 2 - Rango 0 - CS;266.47;256.49;246.33;201806
Estrato 2 - Rango > CS;486.95;469.12;451.29;201806
Estrato 3 - Rango 0 - CS;413.91;398.75;383.6;201806
Estrato 3 - Rango > CS;486.95;469.12;451.29;201806
Estrato 4 - Todo el consumo;486.95;469.12;451.29;201806
Estrato 5 y 6 - Todo el consumo;584.34;562.94;541.55;201806
Industrial y Comercial;584.34;562.94;541.55;201806
ESPD*;535.64;516.03;496.42;201806
Oficial y Exentos de Contribucion;486.95;469.12;451.29;201806
Industrial y Comercial - Punta;592.01;570.62;549.23;201806
Industrial y Comercial - Fuera de Punta;581.45;560.05;538.66;201806
Oficial y Exentos - Punta;493.34;475.52;457.69;201806
Oficial y Exentos - Fuera de Punta;484.54;466.71;448.88;201806
Estrato 1 - Rango 0 - CS;213.5;205.51;197.37;201807
Estrato 1 - Rango > CS;496.33;478.46;460.6;201807
Estrato 2 - Rango 0 - CS;266.88;256.88;246.71;201807
Estrato 2 - Rango > CS;496.33;478.46;460.6;201807
Estrato 3 - Rango 0 - CS;421.88;406.69;391.51;201807
Estrato 3 - Rango > CS;496.33;478.46;460.6;201807
Estrato 4 - Todo el consumo;496.33;478.46;460.6;201807
Estrato 5 y 6 - Todo el consumo;595.59;574.16;552.72;201807
Industrial y Comercial;595.59;574.16;552.72;201807
ESPD*;545.96;526.31;506.66;201807
Oficial y Exentos de Contribucion;496.33;478.46;460.6;201807
Industrial y Comercial - Punta;603.63;582.2;560.76;201807
Industrial y Comercial - Fuera de Punta;592.53;571.1;549.67;201807
Oficial y Exentos - Punta;503.02;485.16;467.3;201807
Oficial y Exentos - Fuera de Punta;493.78;475.92;458.06;201807
Estrato 1 - Rango 0 - CS;213.23;205.25;197.12;201808
Estrato 1 - Rango > CS;495.22;477.37;459.53;201808
Estrato 2 - Rango 0 - CS;266.54;256.56;246.4;201808
Estrato 2 - Rango > CS;495.22;477.37;459.53;201808
Estrato 3 - Rango 0 - CS;420.93;405.77;390.6;201808
Estrato 3 - Rango > CS;495.22;477.37;459.53;201808
Estrato 4 - Todo el consumo;495.22;477.37;459.53;201808
Estrato 5 y 6 - Todo el consumo;594.26;572.85;551.44;201808
Industrial y Comercial;594.26;572.85;551.44;201808
ESPD*;544.74;525.11;505.49;201808
Oficial y Exentos de Contribucion;495.22;477.37;459.53;201808
Industrial y Comercial - Punta;601.59;580.18;558.77;201808
Industrial y Comercial - Fuera de Punta;591.52;570.11;548.70;201808
Oficial y Exentos - Punta;501.33;483.48;465.64;201808
Oficial y Exentos - Fuera de Punta;492.93;475.09;457.25;201808
Estrato 1 - Rango 0 - CS;213.49;205.49;197.36;201809
Estrato 1 - Rango > CS;496.96;479.09;461.22;201809
Estrato 2 - Rango 0 - CS;266.86;256.87;246.69;201809
Estrato 2 - Rango > CS;496.96;479.09;461.22;201809
Estrato 3 - Rango 0 - CS;422.42;407.23;392.04;201809
Estrato 3 - Rango > CS;496.96;479.09;461.22;201809
Estrato 4 - Todo el consumo;496.96;479.09;461.22;201809
Estrato 5 y 6 - Todo el consumo;596.35;574.91;553.46;201809
Industrial y Comercial;596.35;574.91;553.46;201809
ESPD*;546.66;527.00;507.34;201809
Oficial y Exentos de Contribucion;496.96;479.09;461.22;201809
Industrial y Comercial - Punta;602.20;580.76;559.31;201809
Industrial y Comercial - Fuera de Punta;594.15;572.70;551.26;201809
Oficial y Exentos - Punta;501.84;483.96;466.09;201809
Oficial y Exentos - Fuera de Punta;495.12;477.25;459.38;201809
Estrato 1 - Rango 0 - CS;213.83;205.82;197.68;201810
Estrato 1 - Rango > CS;500.31;482.23;464.15;201810
Estrato 2 - Rango 0 - CS;267.29;257.28;247.09;201810
Estrato 2 - Rango > CS;500.31;482.23;464.15;201810
Estrato 3 - Rango 0 - CS;425.27;409.9;394.53;201810
Estrato 3 - Rango > CS;500.31;482.23;464.15;201810
Estrato 4 - Todo el consumo;500.31;482.23;464.15;201810
Estrato 5 y 6 - Todo el consumo;600.38;578.68;556.98;201810
Industrial y Comercial;600.38;578.68;556.98;201810
ESPD*;550.35;530.45;510.56;201810
Oficial y Exentos de Contribucion;500.31;482.23;464.15;201810
Industrial y Comercial - Punta;607.63;585.93;564.23;201810
Industrial y Comercial - Fuera de Punta;597.70;576.00;554.30;201810
Oficial y Exentos - Punta;506.36;488.27;470.19;201810
Oficial y Exentos - Fuera de Punta;498.09;480.00;461.92;201810
Estrato 1 - Rango 0 - CS;214.09;206.07;197.91;201811
Estrato 1 - Rango > CS;509.8;491.59;473.38;201811
Estrato 2 - Rango 0 - CS;267.61;257.59;247.39;201811
Estrato 2 - Rango > CS;509.8;491.59;473.38;201811
Estrato 3 - Rango 0 - CS;433.33;417.85;402.37;201811
Estrato 3 - Rango > CS;509.8;491.59;473.38;201811
Estrato 4 - Todo el consumo;509.8;491.59;473.38;201811
Estrato 5 y 6 - Todo el consumo;611.76;589.91;568.05;201811
Industrial y Comercial;611.76;589.91;568.05;201811
ESPD*;560.78;540.75;520.71;201811
Oficial y Exentos de Contribucion;509.8;491.59;473.38;201811
Industrial y Comercial - Punta;618.02;596.17;574.31;201811
Industrial y Comercial - Fuera de Punta;609.48;587.62;565.77;201811
Oficial y Exentos - Punta;515.02;496.81;478.59;201811
Oficial y Exentos - Fuera de Punta;507.90;489.69;471.47;201811
Estrato 1 - Rango 0 - CS;214.34;206.32;198.14;201812
Estrato 1 - Rango > CS;498.36;480.13;461.9;201812
Estrato 2 - Rango 0 - CS;267.93;257.89;247.68;201812
Estrato 2 - Rango > CS;498.36;480.13;461.9;201812
Estrato 3 - Rango 0 - CS;423.6;408.11;392.62;201812
Estrato 3 - Rango > CS;498.36;480.13;461.9;201812
Estrato 4 - Todo el consumo;498.36;480.13;461.9;201812
Estrato 5 y 6 - Todo el consumo;598.03;576.15;554.28;201812
Industrial y Comercial;598.03;576.15;554.28;201812
ESPD*;548.19;528.14;508.09;201812
Oficial y Exentos de Contribucion;498.36;480.13;461.9;201812
Industrial y Comercial - Punta;607.14;585.27;563.40;201812
Industrial y Comercial - Fuera de Punta;594.69;572.82;550.95;201812
Oficial y Exentos - Punta;505.95;487.73;469.50;201812
Oficial y Exentos - Fuera de Punta;495.58;477.35;459.12;201812
Estrato 1 - Rango 0 - CS;214.99;206.94;198.74;201901
Estrato 1 - Rango > CS;501.74;483.53;465.32;201901
Estrato 2 - Rango 0 - CS;268.74;258.67;248.43;201901
Estrato 2 - Rango > CS;501.74;483.53;465.32;201901
Estrato 3 - Rango 0 - CS;426.48;411;395.52;201901
Estrato 3 - Rango > CS;501.74;483.53;465.32;201901
Estrato 4 - Todo el consumo;501.74;483.53;465.32;201901
Estrato 5 y 6 - Todo el consumo;602.08;580.23;558.38;201901
Industrial y Comercial;602.08;580.23;558.38;201901
ESPD*;551.91;531.88;511.85;201901
Oficial y Exentos de Contribucion;501.74;483.53;465.32;201901
Industrial y Comercial - Punta;607.27;585.41;563.56;201901
Industrial y Comercial - Fuera de Punta;600.29;578.44;556.59;201901
